mel_filename,speaker_id,utterance_id,text,duration
p236_045.npy,p236,045,We are working on it.,2.089795918367347
p239_148.npy,p239,148,People have been placed in a state of alarm.,3.006984126984127
p259_276.npy,p259,276,Defensive stocks attracted some interest.),3.0998639455782313
p279_072.npy,p279,072,Scotland had great assets.,2.2987755102040817
p233_107.npy,p233,107,Everyone had to play the game.,2.066575963718821
p236_079.npy,p236,079,"On Saturday, it was much the same.",2.948934240362812
p243_365.npy,p243,365,Stephen has never considered the question of compensation.,3.7732426303854876
p243_082.npy,p243,082,It's been a great evening for us.,3.2043537414965986
p254_156.npy,p254,156,The woman is a star who has grown to love the limelight.,3.2856235827664397
p257_397.npy,p257,397,Our numbers are small.,1.8808163265306121
p239_112.npy,p239,112,Talk of a crisis is absurd.,2.426485260770975
p279_121.npy,p279,121,Who would have?,1.4048072562358276
p282_229.npy,p282,229,"Her condition was yesterday described as critical, but stable.",4.08671201814059
p243_207.npy,p243,207,I want an answer from the British Government.,3.111473922902494
p258_369.npy,p258,369,I feel pretty good.,1.7763265306122449
p232_280.npy,p232,280,"Sadly, the revival could not be sustained.",3.076643990929705
p279_276.npy,p279,276,They seem to get away with it.,1.8924263038548752
p257_078.npy,p257,078,Mr Irvine said Mr Rafferty was now in good spirits.,3.1811337868480725
p279_354.npy,p279,354,It's that sort of night.,1.5905668934240362
p250_166.npy,p250,166,The whole industry is a shambles.,2.078185941043084
p269_081.npy,p269,081,This is the way things should be handled.,2.345215419501134
p231_428.npy,p231,428,Pupils were allowed home at lunchtime.,2.589024943310658
p268_293.npy,p268,293,The Royal Highland was no exception.,2.670294784580499
p270_169.npy,p270,169,She returned to the theatre.,2.414875283446712
p277_385.npy,p277,385,It's a real problem.,1.6370068027210884
p232_073.npy,p232,073,There could be a way back.,1.9156462585034013
p282_262.npy,p282,262,"He claimed his insurance company contested the damages, not the restaurant.",4.829750566893424
p239_013.npy,p239,013,Some have accepted it as a miracle without physical explanation.,4.098321995464852
p226_276.npy,p226,276,It's a way of life.,1.7182766439909296
p259_449.npy,p259,449,None of the pieces was commissioned.),2.4961451247165534
p230_314.npy,p230,314,I can hardly believe it.,2.4729251700680273
p269_212.npy,p269,212,Feel the heat?,1.4280272108843537
p226_345.npy,p226,345,They made clear that they are not interested in Government assistance.,4.028662131519274
p236_097.npy,p236,097,"That time is not now, however.",2.3219954648526078
p282_221.npy,p282,221,It's a question of creating a future awareness.,3.657142857142857
p257_250.npy,p257,250,They are interior designers and architects.,2.5774149659863945
p259_362.npy,p259,362,A Home Office spokesman said.),2.4961451247165534
p270_093.npy,p270,093,The move follows a review of the Singapore,3.320453514739229
p228_256.npy,p228,256,One MP said he feared the job losses were only the beginning.,4.388571428571429
p254_203.npy,p254,203,But I am a worried man.,1.811156462585034
p233_267.npy,p233,267,"George W Bush, the US president, condemned the attacks.",4.481451247165533
p282_321.npy,p282,321,"We have the experience, the courses, and an abundance of confidence.",4.783310657596372
p279_266.npy,p279,266,Perhaps it's because I haven't finished the first two races.,3.239183673469388
p256_117.npy,p256,117,It was ugly.,1.9272562358276644
p243_215.npy,p243,215,The study is entirely into the issue of future funding.,3.5294331065759637
p243_201.npy,p243,201,One in eight workers in Edinburgh works for Standard Life alone.,4.179591836734694
p277_211.npy,p277,211,"Naturally enough, the letter in question was an E.",3.7384126984126986
p286_398.npy,p286,398,The ethos of the school was outstanding.,2.670294784580499
p239_080.npy,p239,080,They hoped to remain in the Edinburgh area.,2.7631746031746034
p233_083.npy,p233,083,They were badly prepared for it.,2.345215419501134
p274_010.npy,p274,010,"People look, but no one ever finds it. )",2.995374149659864
p227_373.npy,p227,373,The announcement was made after inquiries from a national newspaper.,4.841360544217687
